cartodb_id|orig_geocode_string|orig_lat|orig_lon|mapzen_diff_lat|mapzen_diff_lon|mapquest_diff_lat|mapquest_diff_lon
537491|ALGARROBO 1041,Capital Federal,Argentina|-34.6548386|-58.3794556|0.00005740000000287182|0.00047940000000323835|0.00024060000000503123|0.0004477117503967065
336663|Boston, MA 02116|42.35|-71.0766|0.008429999999997051|0.01682999999999879|0.0007356999999998948|0.009604499999994687
336659|Atlanta, GA 30326|33.84942|-84.36326|0.10041999999999973|0.024720000000002074|0.1003213000000045|0.026924899999997365
336665|Charlotte, NC 28211|35.17108|-80.79266|0.056009999999993454|0.050470000000004234|0.05600689999999986|0.05046679999999526
336666|Chicago, IL 60611|41.89578|-87.61596|0.045750000000005286|0.03408999999999196|9.220557499999998|87.0748018
336672|Honolulu, HI 96814|21.29384|-157.84674|0.013100000000001444|0.011589999999984002|0.012653799999998938|0.018385999999992464
336671|Hackensack, NJ 07601|40.88606|-74.04446|0.0001299999999986312|0.0009900000000016007|0.00040510000000182345|0.008180600000002869
336673|Honolulu, HI 96815|21.27307|-157.82357|0.03387000000000029|0.034760000000005675|0.0021422500000021216|0.004689871048981331
336681|McClean, VA 22102|38.9365196|-77.1842804|12.618193400000003|87.11423640000001|6.580887599999997|34.1746845
336680|Manhasset, NY 11030|40.79823|-73.69817|0.00034999999999740794|0.0013999999999896318|0.000351299999998389|0.0014048999999971556
336679|Malibu, CA 90265|34.03652|-118.68796|0.03151000000000437|0.12212999999999852|0.004960049999993998|0.020846645576995115
336683|Nashville, TE 37215|36.0861511|-86.8383179|0.07973889999999528|0.053877900000003365|0.07607459999999833|0.06397600000001091
336668|Dallas, TX 75205|32.83385|-96.79462|0.050789999999999225|0.012050000000002115|0.05765369999999592|0.0022794000000061487
336682|Naples, FL 34108|26.24336|-81.80715|0.10131999999999763|0.012339999999994689|0.10132420000000053|0.012339699999998288
336674|Houston, TX 77506|29.71573|-95.2002|0.04755000000000109|0.1630700000000047|0.0432081999999987|0.16749740000000202
336684|NYC, NY 10012|40.72616|-73.99835|0.04254999999999853|0.0166499999999985|0.006400100000000464|0.0001584999999977299
336685|NYC, NY 10014|40.735|-74.00697|0.051389999999997826|0.02526999999999191|0.11410860000000156|0.02078255765879078
336686|NYC, NY 10065|40.76745|-73.96311|0.08383999999999503|0.018590000000003215|0.14655859999999876|0.023077442341204346
537492|ARCOS 2601,Capital Federal,Argentina|-34.5555382|-58.4578514|0.00001780000000195514|0.0000975999999965893|0.000017999999997186933|0.00009779999999892652
3026785|1006 Balanced Rock Pl. Round Rock, TX 78681 United States|NaN|NaN|NaN|NaN|NaN|NaN
336700|Toronto, ON M6A 2T9|43.7249527|-79.4570847|0.02484270000000066|0.040784699999989016|0.00014119999999451238|0.0003188000000022839
537493|AVENIDA CABILDO 3067,Capital Federal,Argentina|-34.5537682|-58.4640121|0.000030199999997648774|0.00007409999999907768|0.000030500000001154604|0.00007389999999674046
537495|AVENIDA PATRICIAS ARGENTINAS 102,Capital Federal,Argentina|-34.6077576|-58.4334183|0.0007975999999985106|0.0009202999999970984|0.0027315999999970586|0.00019340000000056534
537494|AVENIDA JURAMENTO 2291,Capital Federal,Argentina|-34.5612259|-58.4555473|0.000008899999997424857|0.00008369999999757738|0.0001231702128023926|0.0000444063829974084
537497|CUBA 2410,Capital Federal,Argentina|-34.5580177|-58.4574432|0.005196300000001486|0.011179200000000833|0.000021269387801226003|0.00006115102039672138
537496|AVENIDA PATRICIAS ARGENTINAS 401,Capital Federal,Argentina|-34.6042862|-58.4348793|0.00031380000000069685|0.002220700000002296|0.0007398000000051752|0.001267599999998481
336701|Troy, MI 48084|42.56238|-83.15449|0.04321000000000197|0.004559999999997899|0.043209300000000894|0.004559599999993225
1087622|365 Sunset Dr Dousman  WI 53118|43.0233917|-88.4679108|9.968104699999998|28.826429200000007|0.0004842999999965514|0.002485899999996377
1087623|365 Westport Ave Norwalk  CT 06851|41.1259384|-73.3920212|8.150447400000004|43.6471878|0.0002563453237058866|0.0006254216633010401
1007605|Cambridge, MA, USA|42|71|0.3751000000000033|142.10561|0.3750996999999998|142.1056157
547172|Evansville, IN|37.97708|-87.56405|0.0023199999999974352|0.008199999999987995|0.002315500000001691|0.008201700000000756
537500|Avenida Amancio Alcorta 3000, Capital Federal , Argentina|-34.648056|-58.4033432|0.00556200000000473|0.3799127999999996|0.003973800000004246|0.003963200000001166
537498|RAMALLO 4656,Capital Federal,Argentina|-34.5525894|-58.4935913|1.0506494000000046|1.5740736999999996|0.000009559183695273532|0.000010720408198494624
537501|Avenida Caseros 2526, Capital Federal , Argentina|-34.6358452|-58.3978271|0.000054800000000909677|0.000027100000004054436|0.0012197000000000457|0.007325899999997887
537504|Avenida Emilio Castro 7680, Capital Federal , Argentina|-34.6564369|-58.5246887|0.00013809999999381262|0.000015300000001161607|0.0003838999999956627|0.0009099000000034607
537503|Avenida Coronel Roca 5252, Capital Federal , Argentina|-34.6864014|-58.4568024|0.008001399999997716|0.009697600000002637|0.014546500000001572|0.01129099999999994
537507|Avenida José María Moreno 121, Capital Federal , Argentina|-34.6110153|-58.3683586|0.017011700000004737|0.06553240000000216|0.008712393877601698|0.06755195102039835
336687|Orlando, FL 32839|28.48885|-81.41139|0.049490000000002254|0.032150000000001455|0.05326750000000047|0.032343799999992484
336697|Scottsdale, AZ 85251|33.494|-111.92069|0.015210000000003276|0.021659999999997126|0.01520980000000094|0.021660299999993526
